,en,de
.action.add,Add,Hinzufügen
.action.apply,Apply,Übernehmen
.action.cancel,Cancel,Abbrechen
.action.close,Close,Schließen
.action.copy,Copy,Kopieren
.action.copy.long,Copy to Clipboard,In Zwischenablage Kopieren
.action.cut,Cut,Ausschneiden
.action.delete,Delete,Löschen
.action.edit,Edit,Bearbeiten
.action.finish,Finish,Fertigstellen
.action.new,New,Neu
.action.next,Next,Weiter
.action.no,No,Nein
.action.ok,OK,OK
.action.open,Open,Öffnen
.action.paste,Paste,Einfügen
.action.previous,Previous,Zurück
.action.redo,Redo,Wiederholen
.action.select,Select,Auswählen
.action.selectAll,Select All,Alles auswählen
.action.undo,Undo,Rückgängig machen
.action.yes,Yes,Ja
.alert.choice.content,Please Select:,Bitte auswählen:
.alert.choice.title,Selection,Auswahl
.alert.confirm,Confirm,Bestätigung
.alert.create-project,Create new Project Database,Neue Projekt-Datenbank erstellen
.alert.error,Error,Fehler
.alert.info,Info,Info
.alert.mail.overdue,Send warnings for exceeded borrowing periods now?,Sollen die Mahnungen jetzt versendet werden?
.alert.mail.send.cancel,The transfer was canceled.\nIt will be tried again on the next application startup.,Emailversand abgebrochen.\nBeim Neustart des Programms wird es erneut versucht.
.alert.mail.send.content,Sending Mails,Versende Emails
.alert.mail.send.error,The mail transfer failed.,Fehler beim senden der Emails.
.alert.mail.send.error.to,Transfer failed for the users:\n{0},Fehler beim senden der Emails an:\n{0}
.alert.mail.send.success,Finished sending mails.,Senden der Mahnungen erfolgreich.
.alert.mail.send.title,Mail,Emailversand
.alert.open-project,Select Project Database,Projekt-Datenbank auswählen
.alert.overdue,Overdues,Überziehungen
.alert.overdue.date,Effective: {0},Stand: {0}
.alert.overdue.none,There are currently no expired borrowing periods.,Momentan gibt es keine Überziehungen.
.alert.update,Welcome to Version {0}.\nThe database has been updated successfully.,Willkommen zu Version {0}.\nDie Datenbank wurde erfolgreich aktualisiert.
.alert.user.title,Select User File,Benutzerdatai auswählen
.alert.warning,Warning,Warnung
.book,Book,Buch
.book.authors,Authors,Autoren
.book.authors.def,Forename Surname,Vorname Nachname
.book.authors.info-edit,Left mouse button for adding or removing authors.\nDouble click to edit authors.,Linksklick um Autoren hinzuzufügen oder zu löschen.\nDoppelklick um Autoren zu bearbeiten.
.book.authors.info-select,Select an author to show related books.,Autor auswählen um weitere Bücher dieses Autors anzuzeigen.
.book.available,Not Borrowed or Reserved,Nicht Ausgeliehen oder Vorgemerkt
.book.borrowable,Borrowable,Ausleihbar
.book.borrowed,Borrowed,Ausgeliehen
.book.borrowed.by,Borrowed by {0} until {1},Ausgeliehen von {0} bis zum {1}
.book.costs,Costs,Preis
.book.delete-reservation,Delete Reservation,Vormerkung Löschen
.book.delete,Do you want to delete the book '{0}'?,Möchtest du das Buch '{0}' wirklich löschen?
.book.from-user,By {0} ({1}),Von {0} ({1})
.book.id-isbn,ID or ISBN,Signatur oder ISBN
.book.id,ID,Signatur
.book.id.action,Suggest,Vorschlagen
.book.id.format,"The Book ID has to consist of the category, author and a numeric id.","Die Signatur muss aus der Kategorie, dem Autor und einer ID bestehen."
.book.invalid,"ID, Title and Category are mandatory.","ID, Titel und Kategory dürfen nicht leer bleiben."
.book.isbn,ISBN,ISBN
.book.lend,Lend,Ausleihen
.book.lend.period,Period,Dauer
.book.lend.to,Lend to {0},Ausleihen an {0}
.book.lend.until,Borrowed until {0},Ausgeliehen bis zum {0}
.book.new,Add book,Neues Buch
.book.new.success,The book has been added successfully.,Das Buch wurde erfolgreich eingetragen.
.book.not-borrowable,Not Borrowable,Nicht ausleihbar
.book.note,Notes,Notizen
.book.period,Since {0} ({1} day{1:|s}),Seit dem {0} ({1} Tag{1:|e})
.book.period.days,days,Tage
.book.publisher,Publisher,Verlag
.book.renew,Renew,Verlängern
.book.request,Fetch Infos,Infos laden
.book.reserve,Reserve,Vormerken
.book.reserved,Reserved,Vorgemerkt
.book.reserved.by,Reserved by {0},Vorgemerkt von {0}
.book.revoke,Return,Zurückgeben
.book.revoke.reminder,The book is reserved by '{0}'.\nDo you want to inform him that the book is now available?,Das Buch wurde von '{0}' vorgemerkt.\n\nMöchtest du den Vormerker per Email über die Rückgabe informieren?
.book.revoke.success,The book '{0}' was returned successfully.\nNotes: {1},Das Buch '{0}' wurde erfolgreich zurückgegeben.\nNotizen: {1}
.book.state,State,Status
.book.title,Title,Titel
.book.unavaliable,Borrowed or Reserved,Ausgeliehen oder Vorgemerkt
.book.year,Year,Anschaffungsjahr
.book.invalid-isbn,The given ISBN is not valid,Die angegebene ISBN is fehlerhaft
.category,Category,Kategorie
.category.edit,Edit Categories,Kategorien bearbeiten
.category.empty-input,Empty inputs are not allowed.,Leere Eingaben sind nicht erlaubt.
.category.id,ID,Abk
.category.name,Name,Name
.category.not-empty.del,"A category has to be empty to be removed. This category, however, is not emtpy.",Eine können nur leere Kategorien gelöscht werden. Diese Kategorie ist allerdings nicht leer.
.category.section,Section,Bereich
.category.t1.id,SCFI,SCFI
.category.t1.name,Science Fiction,Science-Fiction
.category.t1.section,Novels,Romane
.category.t2.id,THRL,THRL
.category.t2.name,Thriller,Thriller
